gp_practice,latitude,longitude,asthma_percentage,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Saltley and Fernbank Medical Practice,52.4916158,-1.8520011,5.4784,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Schoolacre Road Surgery,52.4984069,-1.7852019,8.8321,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Selly Oak Health Centre,52.43843889999999,-1.9384925,4.8729,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Selly Park Surgery,52.443927,-1.915484,5.7119,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Shah Zaman Surgery,52.5168721,-1.7944998,7.7968,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Shenley Green Surgery,52.4264753,-1.9736396,7.9863,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Sherwood House Medical Practice,52.47371769999999,-1.9585589,5.7138,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Small Heath Medical Practice,52.4720805,-1.8619708,7.6473,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Solihull Healthcare Partnership,52.4195624,-1.7753376,5.4646,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Springfield Medical Pract,52.4456243,-1.859895,7.5116,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Springfield Surgery,52.4445761,-1.85843,7.3751,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
St Heliers Medical Practice,52.41230969999999,-1.9754827,6.9333,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
St.Margarets Medical Practice,52.4380512,-1.8072115,6.691,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Strensham Road Surgery,52.4544113,-1.8924408,6.0052,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Surgery Aubery Road,52.4663797,-1.8471205,5.0792,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Sutton Coldfield Group Practice,52.5661403,-1.8793062,6.1077,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Sutton Road Surgery,52.53381,-1.8291118,6.7102,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Swanswell Medical Centre,52.4326277,-1.8167095,8.4529,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
